,Date,Text,Tone,X Likes,X reposts,X followers,Impressions,Estimated reach,Queries,Compound_Sentiment_Score,Sentiment
0,29/05/2024 11:38:06,Hess Shareholders Approve $53B Merger Deal with Chevron  ,neutral,0,0,118,118,9,Chevron,0.44393547670915723,neutral
1,29/05/2024 11:18:25,"Hess Corporation shareholders approved a $53 billion merger with Chevron, enabling the acquisition of a key asset in Guyana.
#EnergyConnects #energynews #news #oott #oilandgas @HessCorporation @Chevron 
",neutral,0,0,12172,12172,973,Chevron,0.5720831751823425,positive
2,29/05/2024 11:16:06,Chevron deal clears hurdle as Hess investors back $53bn takeover  via @ft,neutral,0,0,2958,2958,236,Chevron,0.13456573709845543,neutral
3,29/05/2024 11:09:43,"One bet this morning for @ToteRacing from Strasbourg. 👇

Hopefully this promising colt can book his German Derby ticket. 🇩🇪
@PMU_Hippique 🔞 | ",positive,3,0,16546,16546,1323,Chevron,0.6876500528305769,positive
4,29/05/2024 11:00:35,F+L Magazine - Innovations in low-carbon additive and base oil technologies  ,neutral,0,0,1295,1295,103,Chevron,0.4314702423289418,neutral
5,29/05/2024 10:33:03,Hess Shareholders Green-Light on $53 Billion Sale to Chevron  #chevron #hess #merger #Guyanaoilpatch #exxon #arbitration ,neutral,0,0,2143,2143,171,Chevron,0.05250086262822151,neutral
6,29/05/2024 10:20:56,"Chevron’s $53 Billion Oil Deal Is Backed by Hess Shareholders
Hurdles remain as Chevron and Exxon Mobil wage a legal battle over Hess’s stake in a lucrative oil project in Guyana.
#business #finance #financenews #businessnews #news ",neutral,0,0,4805,4805,384,Chevron,0.055549388751387596,neutral
7,29/05/2024 10:06:29,"Hess shareholders sign off on $53 billion sale to Chevron
$CVX
",neutral,0,0,948,948,75,Chevron,0.12160294689238071,neutral
9,29/05/2024 09:13:54,"#Hess shareholders sign off on USD 53 billion sale to #Chevron
The approval clears one hurdle, but the deal still requires regulatory approval and must face a lengthy arbitration battle with #Exxon and #CNOOC, Hess' partners in #Guyana.",neutral,0,0,3154,3154,252,Chevron,0.0022515393793582916,neutral
10,29/05/2024 09:10:28,Chevron’s $53 Billion Oil Deal Is Backed by Hess Shareholders ,neutral,0,0,2329,2329,186,Chevron,0.2747936835512519,neutral
11,29/05/2024 09:10:10,"🤖💡🛍️ Today I'm adding a bit to the following positions:
➡️ SoFi Techn. $SOFI
➡️ Chevron $CVX
➡️ Coca-Cola $KO
➡️ Progressive $PGR
➡️ Uber $UBER
➡️ Fulgent $FLGT
➡️ Lemonade $LMND
➡️ Sleep Number $SNBR
➡️ Amazon $AMZN",neutral,0,0,139,139,11,Chevron,0.40654904767870903,neutral
12,29/05/2024 09:07:27,"@NetZeroWatch Toyota: campaigning, advertising and lobbying against EVs. 2nd EV (Chevron-Texaco banned their first one) couldn’t keep its wheels on or charge properly.
Mazda: 2022 EV has a 100 mile range, in a 250 mile market.
Subaru: a Toyota subsidiary…
Like Kodak, they led this tech 🫣 ",negative,0,0,152,152,12,Chevron,-0.6949370298534632,negative
13,29/05/2024 09:02:24,M&amp;A is alive and well. Two takeovers; Chevron confirmed and now: ,positive,2,0,1298,1298,103,Chevron,0.5529311085119843,positive
14,29/05/2024 08:35:46,"@SocialistNHS It’s a political and almost religious statement 
And also suggests you don’t treat those of us who are atheists. Everyone already has equal rights, but the chevron taken over is asking for extra",neutral,0,0,834,834,66,Chevron,-0.7535530049353838,negative
15,29/05/2024 08:31:32,"Interns needed at a Fintech 
Location: Chevron
Type: Hybrid (on-site: twice a week)
We are looking for interns to join the Company to support the Customer Support team. 
Remuneration: 70k
Interested candidates should send their CVs to geraldineada1@gmail.com",neutral,5,4,13455,14659,1172,Chevron,0.21474025771021843,neutral
16,29/05/2024 08:14:24,Hess shareholders approve $53 billion merger with Chevron ,neutral,2,0,487066,487066,38965,Chevron,0.4016627883538604,neutral
17,29/05/2024 07:43:01,Hess Corp shareholders give green light to Chevron's $53 billion acquisition bid! 🎉👏 Big moves in the oil industry! Stay tuned for updates. #Chevron #HessCorp #Acquisition 🛢️💰,neutral,0,0,7,7,0,Chevron,0.9489662034902722,positive
18,29/05/2024 07:03:58,The best part about this Chevron station playset is the gas prices. ,positive,1,0,1032,1032,82,Chevron,0.9305525487288833,positive
19,29/05/2024 06:52:47,"ITEM: GUCCI GG MARMONT SUPER MINI BAG 
The material is matelassé chevron leather. The sizing is W16.5cm x H10cm x D4.5cm. It has an attached key ring that can be attached to a separate bag. It has a chain shoulder strap with a 60cm drop.
Read more:  ",negative,0,0,38,38,3,Chevron,0.0583809670060873,neutral
20,29/05/2024 06:29:44,"@mondesworld @mamasworkinit @MatthewtrueI @angela4LNCChair Central planning is failing, Chevron is about to die, 400m arms in private hands. I think people have been waking up to this for a while now as we’re kinda on the cusp of a large transferal of power regardless.
The objective leave little central planning for them to fight over",negative,0,0,260,260,20,Chevron,-0.7442526835948229,negative
21,29/05/2024 06:27:02,Corporate welfare is A-Okay with the billionaires just not social welfare for middle to low class families 🧐,negative,0,0,298,298,23,Chevron,-0.22335148602724075,neutral
22,29/05/2024 06:01:43,"$HES shareholders approve merger with $CVX.
- @Reuters
",neutral,0,0,3918,3918,313,Chevron,0.2896145172417164,neutral
23,29/05/2024 05:53:18,"""Acquisition remains subject to an FTC investigation and an arbitration process launched by Exxon.""

#energy #OOTT #oilandgas #WTI #CrudeOil #fintwit #OPEC #Commodities ",neutral,0,0,41263,41263,3301,Chevron,-0.07156799733638763,neutral
24,29/05/2024 05:10:44,3:42AMHess Stockholders Approve $53 Bln Proposed Merger With Chevron - ,neutral,0,0,25,25,2,Chevron,0.27669420279562473,neutral
25,29/05/2024 05:10:05,"in investing. 🚀 Many follow successful investors' moves, and here's why: Billionaire investors recently bought Nvidia (NVDA), Starbucks (SBUX), and Chevron (CVX). Curious if their leads could boost your gains? Read on and decide for yourself! 📈 #Investing #Stocks #Billionaires"" ",positive,1,0,98,98,7,Chevron,0.90832748147659,positive
26,29/05/2024 05:05:42,Hess Stockholders Approve $53 Bln Proposed Merger With Chevron - AFX ,neutral,0,0,41,41,3,Chevron,0.2816188964061439,neutral
27,29/05/2024 04:53:18,"1. Lee Yewon is playing great. Already two wins in 2024. Put on a clinic for three rounds in Japan.
2. Park Ji Young has already won twice in 2024.
3. Bang Shinsil went to Chevron.
4. Park Hyun Kyung is temporarily leading the KLPGA in $ and is at the US Open this week. ",positive,0,0,286,286,22,Chevron,0.8893909882754087,positive
28,29/05/2024 04:27:34,Exxon’s challenge to the Chevron-Hess deal is shaping up to be the most momentous legal brawl among giant oil companies since Texaco-Pennzoil. ,neutral,0,0,1840,1840,147,Chevron,-0.18687771260738373,neutral
29,29/05/2024 04:07:30,"Warren Buffett Stock Portfolio (Q1 2024)
9. Others 12.34% (Amazon, MasterCard etc)
8.  Moody (2.9%)
7. Kraft Heinz (3.62%)
6. Occidental Petroleum (4.86%)
5. Chevron (5.85)
4. Coco Cola (7.38%)
3. American Express (10.41%)
2. Bank of America (11.81%)
1. Apple (40.81%)",neutral,1,0,3,3,0,Chevron,0.008951820433139801,neutral
30,29/05/2024 04:00:14,s/o to the Chevron on 33rd that doesn't play ads while you fill up. this is the most peaceful 50$ I've ever spent,positive,3,0,294,294,23,Chevron,0.9067807532846928,positive
31,29/05/2024 03:39:54,"And nope to that. 
",neutral,0,0,6382,6382,510,Chevron,-0.6286858655512333,negative
32,29/05/2024 03:35:02,"#Nasdaq breaks 17,000 fueled by #Nvidia's record high, but market braces for inflation data. Mixed day for stocks as #DowJones and #SP500 dip, while chip sector shines on. #Hess-#Chevron merger approved, #Apple sees modest gain, #GameStop surges on stock offering news.",neutral,0,1,15489,15790,1263,Chevron,0.4598943702876568,positive
34,29/05/2024 03:28:56,Hess shareholders approve Chevron’s $53 billion acquisition bid ,neutral,0,0,246,246,19,Chevron,0.40585558768361807,neutral
35,29/05/2024 03:19:04,"Despite uncertainties over #ExxonMobil arbitration, #Hess shareholders greenlight merger with #Chevron
🖥️ Full story: 
#oil #gas ",neutral,2,0,145484,145484,11638,Chevron,0.0831606537103653,neutral
36,29/05/2024 03:02:41,"More money for the riches’ pockets, fucking hate ts man",negative,0,0,893,893,71,Chevron,-0.8674521408975124,negative
37,29/05/2024 02:58:18,"@Chevron By drilling for more fossil gas: 
F**k all of you.",neutral,0,0,1220,1220,97,Chevron,-0.8955897558480501,negative
38,29/05/2024 02:55:22,"Amos Global Energy is presided by Ali Moshiri, former Chevron president for Africa and Latin America (2008-2017), and he is still there as an advisor.
He was a very important figure for Venezuela with Chevron, and he is still playing a very significant role there.",positive,0,2,478,1080,86,Chevron,0.4192558811046183,neutral
39,29/05/2024 02:52:27,"@GOP ✔️Context is good.
“Chevron, ConocoPhillips, Exxon and Shell all reported record profits in 2022 — a year in which Russia's war on Ukraine collided with the post-pandemic economic recovery to drive oil prices to their highest levels in history.”
",positive,0,0,1756,1756,140,Chevron,0.703905432485044,positive
41,29/05/2024 02:41:54,"@Vaybor @louis_porcello We all figured Chevron and COP, Barrett Gold dropped AR a while ago. Have you seen any reference in slides or comments? Before they always had Chevron and COP symbols in ER slides. Beware the lack of transparency.",negative,0,0,353,353,28,Chevron,-0.5346303135156631,negative
